,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,index
0,0.0026321977253457797,0.002631834981560119,0.002631578987251938,0.1971014906123625,0.23288633274097845,0.0026323182213278825,0.0026315926032707223,0.5515869433069294,0.0026328460146779527,0.0026328648062953386,0
1,0.6381911806919063,0.002000215005321134,0.002000003154976209,0.0020004872753085707,0.16811010491446796,0.0020001416521484607,0.002000021588879557,0.17969699466867242,0.002000403165935501,0.00200044788238397,1
2,0.5132984284055836,0.0006623178816174037,0.0006622517299980573,0.17130035081719247,0.13853433869066673,0.09656999308068728,0.0006623288301017792,0.07698522023931044,0.0006623969538443274,0.0006623733709979524,2
3,0.6116269994014629,0.28836385656391383,0.012500000005113011,0.012502011213036806,0.012501353365261455,0.012500198720761522,0.012500037195237469,0.012501337852455711,0.012502304983539226,0.012501900699218036,3
4,0.3947844513100331,0.0022224960439574267,0.0022222263276540704,0.002222736987361399,0.21251331325495765,0.0022225726974157505,0.002222354412623869,0.0022227842796996595,0.2201569027268672,0.15921016195942994,4
5,0.0031260235797411235,0.003125362118657575,0.0031250000120460167,0.05183758082681663,0.9231581673327244,0.003125044957075337,0.0031250000176409535,0.003126037197510856,0.003125899556629444,0.0031258844011578194,5
6,0.2929448656641673,0.0029418795260207054,0.0029416520061147206,0.11932426418634304,0.08892912533533828,0.0029419700300215433,0.002941838775478222,0.0029419206582475964,0.4811506965871417,0.0029417872311269335,6
7,0.891453255029938,0.0006623355839326361,0.0006622536177967493,0.000662325500538885,0.0006623506326690601,0.10324815368113135,0.0006622977574020305,0.0006623893323339878,0.0006623194496419048,0.0006623194146153072,7
8,0.8498886844950153,0.0071430461828852895,0.007142857204796065,0.007143477051295362,0.007143325084684748,0.09296622445490033,0.007142865521201465,0.007143434272780438,0.00714310266692547,0.007142983065515579,8
9,0.8688700542105561,0.001333600345382204,0.001333333984963387,0.06497679247076363,0.0013336919681510254,0.0013334754136985695,0.0013333535888829828,0.05681855299826668,0.001333671032815599,0.0013334739865198545,9
10,0.3575109815566134,0.0016950662496905044,0.0016949251321934154,0.0016955435755062998,0.028162591299328393,0.0016953160548803293,0.05678060268842186,0.5110566239940586,0.0016955719413458826,0.038012777507961185,10
11,0.0797786063325058,0.06944705643393793,0.0004975124434039224,0.0004976061675587598,0.8155567095881685,0.0004975389154278311,0.03223204674973062,0.0004975994550321152,0.0004977119973609986,0.0004976119168735174,11
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12
13,0.070692809717132,0.00028577739161104955,0.00028571789386240575,0.1401997818522438,0.03971513703702773,0.0002857733867995856,0.00028577107725089013,0.16902128734878788,0.0002858011322794815,0.5789421431630052,13
14,0.09196929395937811,0.0008197337421439519,0.0008196746671693544,0.0008198441541036096,0.0008198292994097302,0.36953852273447246,0.0008197598304567197,0.5327537483129606,0.0008197868641842358,0.0008198064357211592,14
15,0.0021280316116666594,0.002127795055720866,0.0021276595894443666,0.10042622346378326,0.7691606469822734,0.002127919516744112,0.024763306600928774,0.09288224446489944,0.002128189267601631,0.0021279834469375486,15
16,0.42800054572115726,0.000943507224028948,0.0009433963942514353,0.00094363322169598,0.3990136593076453,0.0009434254118601077,0.0009434266512048149,0.0009435812823961845,0.16638129820815362,0.000943526577606273,16
17,0.0001280721776683463,0.00012806061659013593,0.00012804249938811306,0.034146259288733924,0.15493210513978323,0.22900942784432213,0.00012810236203403177,0.5567832519660808,0.005151516996579706,0.01946516110881956,17
18,0.13900433498273426,0.002222589798421603,0.0022222222324344643,0.0022227130168904234,0.1272633137096115,0.0022222774407100205,0.002222258455324728,0.7181750351465798,0.0022227288589491425,0.002222526358344088,18
19,0.8382164593135574,0.001190888252813332,0.0011904765989080779,0.15225872228500884,0.0011906255896616405,0.0011905025419329553,0.0011904846215077744,0.0011905848285622943,0.0011905721932493976,0.0011906837747983233,19
20,0.006667368091934826,0.006666734955782071,0.006666666668686103,0.4837878580891199,0.4628750667336779,0.006667203090516208,0.006666804902488297,0.00666815434782008,0.006667197745827248,0.006666945374147399,20
21,0.0023256842076177374,0.0023255986511021265,0.002325583029383889,0.6059945205361154,0.002326184682477577,0.37539944015001536,0.002325681549142372,0.0023257125094038487,0.002325897652486493,0.002325697032255312,21
22,0.5815301966157582,0.0011907560469496675,0.0011904765238737033,0.12990488402048536,0.001190679087656182,0.0011906874745090932,0.0011905399812891834,0.0011907364235209824,0.0011907959973868727,0.28023024782857076,22
23,0.5877383963327892,0.005263398967679161,0.005263172404174342,0.2711906885334484,0.0052642151316460925,0.005264505319241178,0.005263717132356352,0.005264083989316355,0.005263674685961811,0.10422414750338685,23
24,0.5861767605270998,0.0031253089078576535,0.003125000866834684,0.0031256724999099692,0.0031259434354376503,0.0031252689241650367,0.0031251007212233276,0.38882029328328915,0.003125405935122192,0.00312524489906056,24
25,0.741077279617602,0.0016131098285224498,0.04998779691345692,0.0016132333692950895,0.0016131920980475315,0.0016130008081267492,0.0016129075926805832,0.0016132605339766938,0.07397623063017793,0.12527998860811407,25
26,0.0011767382749357745,0.0011766818935899624,0.0011764724969589469,0.0011768330984703087,0.0011769678645273934,0.0011765922506467648,0.20175731840324135,0.7888286964001864,0.0011768264162803695,0.0011768729011629431,26
27,0.011113059394888658,0.12969240118545722,0.011111200157173054,0.011117786820249385,0.01111466234982759,0.7814018092412891,0.011111654297719481,0.011111971259040211,0.011112251875670982,0.011113203418684285,27
28,0.0007463920008025489,0.000746400630854273,0.0007462686614995366,0.0007465096682591693,0.7778882468670688,0.0007463031106398629,0.0007463304700919622,0.2161406135220279,0.0007465092608207244,0.0007464258079350304,28
29,0.0023812237036334896,0.0023810033489984964,0.002380952406622557,0.002382571249037861,0.3145908641224135,0.002380983314523452,0.002380959815591495,0.6663587028126522,0.0023817080004294323,0.002381031226097531,29
30,0.24970204927877562,0.001470827024365247,0.001470588239094732,0.3490545653845282,0.0014711067262030456,0.0014707121136087772,0.0014706455093617201,0.3909478870794391,0.0014708267551304369,0.001470791889493091,30
31,0.0010991108826593817,0.0010990485600166301,0.001098929654830606,0.5622712240356105,0.22046729420747208,0.0010992527280705318,0.001099121411740183,0.20956778554477418,0.001099123715622108,0.001099109259203689,31
32,0.0966410786307552,0.0066669754732088336,0.006666666768644181,0.006667873588152724,0.8500174144849428,0.006666871076301356,0.006666666815790687,0.006670887181467307,0.006667877884978552,0.006667688095758182,32
