,topic_0,topic_1,topic_2,topic_3,topic_4,index
0,0.00541791863902178,0.005287669211832777,0.00526324568058397,0.9786398313589731,0.005391335109588168,0
1,0.7692493456480373,0.0040182437587230795,0.004001907357054259,0.004118423344984278,0.21861207989120116,1
2,0.47373692666229295,0.0013300928226830297,0.0013248626923823073,0.43615936700322744,0.0874487508194143,2
3,0.8991419729741651,0.02537909688754606,0.02500010742797081,0.02519078034203447,0.02528804236828362,3
4,0.7100215770250263,0.004808616747948912,0.004446974000160714,0.004592026423480578,0.2761308058033835,4
5,0.006453819338264397,0.006292006568834449,0.006250486822395586,0.05200624523639496,0.9289974420341105,5
6,0.6961672075836226,0.0060260191888634644,0.005983259715889599,0.006074891906847355,0.28574862160477715,6
7,0.9946553926207604,0.0013310338650157896,0.0013293244050585629,0.0013402126743547757,0.0013440364348104488,7
8,0.9425803066729072,0.014292859988320314,0.014302529804341253,0.014440541187509981,0.014383762346921382,8
9,0.8922246710803217,0.0026849799849905823,0.002666915032200754,0.09968483957893055,0.0027385943235564893,9
10,0.48898426385676524,0.00342300227783937,0.0034212731512816867,0.5007256012248914,0.0034458594892222303,10
11,0.04304873925532004,0.0010097338536148998,0.000995075071829474,0.0010077608994467364,0.9539386909197889,11
12,0.2,0.2,0.2,0.2,0.2,12
13,0.28506369158386,0.3880301254146521,0.0005720944390405258,0.1910226830141531,0.13531140554829418,13
14,0.15387850920188886,0.21885184970802196,0.001641593796251977,0.6239603526679214,0.0016676946259159054,14
15,0.004314628973093755,0.004268272900700454,0.004256076818703042,0.004355268397494836,0.9828057529100078,15
16,0.5563812592597858,0.001894915913297854,0.0018868628361370927,0.0019147245920390008,0.4379222373987404,16
17,0.02246342154075275,0.00025997966578952353,0.00025713403836835207,0.8123969794141678,0.16462248534092166,17
18,0.4649721462175554,0.004490901978297386,0.004444612007306728,0.5214898462757005,0.004602493521139737,18
19,0.9903831881629552,0.0023949788032239586,0.0023810881004340274,0.0024150672149160484,0.0024256777184709886,19
20,0.01344723088171008,0.01333993805501333,0.013333391866205411,0.013617793861420558,0.9462616453356506,20
21,0.004675342062073674,0.004656128347803262,0.004652203871697986,0.9812149589318644,0.004801366786560761,21
22,0.8886740235833813,0.10407304296017726,0.0023816147808292136,0.0024427018064853328,0.002428616869126952,22
23,0.6733755842506809,0.01059507724714633,0.010532251435257895,0.29477966186502297,0.010717425201891834,23
24,0.8158990532995524,0.006260552896923145,0.006251813794202612,0.07275035902006503,0.09883822098925696,24
25,0.9869816885128098,0.00325223288556995,0.003226060771320934,0.0032603717577365954,0.0032796460725627832,25
26,0.01828139330023476,0.002415773080159205,0.002353849544881805,0.9745300347297413,0.0024189493449828735,26
27,0.022427732629224033,0.0222765927294406,0.02228824210802945,0.9106300314416229,0.0223774010916829,27
28,0.0015184077638648072,0.0014996381098807412,0.0014926443707104435,0.0015172261639061712,0.9939720835916379,28
29,0.0048268608699627465,0.004781676828843178,0.004762198583215251,0.5039258907706177,0.48170337294736104,29
30,0.3368679360711366,0.002959233296865014,0.002941306361964477,0.530492292309386,0.12673923196064785,30
31,0.002238438166694806,0.002210854689740923,0.0022002070615043715,0.4667546211038043,0.5265958789782555,31
32,0.013497507179185428,0.013387384147588546,0.01333417867375796,0.013628046261893033,0.946152883737575,32
33,0.0019344035054772984,0.001938347604841549,0.0019075229972812689,0.29576858936612865,0.6984511365262713,33
34,0.01552840866319108,0.015417170629573925,0.015385828605303006,0.01570960055950777,0.9379589915424242,34
35,0.00775554888236673,0.007812069552446387,0.007708102500130632,0.8651063689658097,0.1116179100992465,35
36,0.004278306624369736,0.004333493667018342,0.004224708823796937,0.39756814026009807,0.5895953506247169,36
37,0.0010655701899246655,0.048558659014855295,0.0010474657009300068,0.0010638785805550238,0.948264426513735,37
38,0.005762015593303101,0.005739457113453167,0.0057149110126819,0.005839486218958695,0.9769441300616032,38
39,0.011717507782959316,0.0006948636880176642,0.0006910542823953649,0.2945041638788526,0.692392410367775,39
40,0.0021250713021809453,0.002114250552952969,0.0021065264976991497,0.4354783472198913,0.5581758044272757,40
41,0.9592798772438688,0.010035282664879892,0.010036422464025295,0.01042420129481148,0.010224216332414604,41
42,0.6523054272649829,0.028627106610342058,0.02861935867705342,0.261521898776929,0.028926208670692555,42
43,0.001337405228700695,0.0013296860205952111,0.0013255561843489067,0.9946600870934091,0.001347265472946063,43
44,0.002067879283457946,0.09921185799663151,0.0020409538102182188,0.8610184979700722,0.035660810939620195,44
45,0.010234723346235795,0.010036946702165504,0.010007550440409746,0.010272425609157304,0.9594483539020316,45
46,0.9267512491018882,0.018308707729637285,0.01826521609302893,0.01844366695894364,0.018231160116502127,46
47,0.004136034929226153,0.004124091397220258,0.025395897430389718,0.5646560308869863,0.40168794535617747,47
48,0.2236226417471051,0.12311988066601566,0.010191634580757522,0.37860636192316877,0.26445948108295303,48
49,0.09395559307222542,0.005665785267289146,0.0055799721250812465,0.8891857125299527,0.0056129370054513305,49
50,0.9811862722533669,0.0022703740871490162,0.0022229044039257955,0.012057134762060757,0.002263314493497451,50
51,0.002737459954582198,0.002748933906262763,0.0027202173014746127,0.002722934474072885,0.9890704543636075,51
52,0.9592855151212336,0.010059868742513297,0.010354966484488136,0.010156091056317514,0.010143558595447367,52
53,0.005784300536323323,0.0056336216221218064,0.005555834228538369,0.005643111225736853,0.9773831323872797,53
54,0.024852980676187606,0.0009245168846478118,0.0009154908996494641,0.0009426637756209358,0.9723643477638942,54
55,0.3433208610516973,0.14505662190398003,0.0033899758140404313,0.0034390257623272396,0.5047935154679549,55
56,0.08690674856726577,0.0012131457532265615,0.0012067664577191377,0.7865541208428813,0.12411921837890726,56
57,0.022958230373146468,0.022224010542007202,0.022223319431752517,0.739581480582381,0.19301295907071278,57
58,0.9769874889152602,0.005720643397976185,0.005715907646175931,0.005780185736041491,0.005795774304546132,58
59,0.05410182540111915,0.8587335286435681,0.000183603324301166,0.0867923223314413,0.00018872029957046625,59
60,0.7162702305630355,0.016810143131525634,0.016667976370532335,0.017421287977817137,0.2328303619570895,60
61,0.9890847105923691,0.002720072949304297,0.002702763276280694,0.0027382614318798267,0.002754191750165978,61
