,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,index
0,0.003769924802653959,0.0037614439504869523,0.0037594028297090946,0.9487330959651437,0.0037723419577319426,0.0324343474628406,0.003769443031433914,0
1,0.6444546449789803,0.0028596387905152126,0.0028571947105096762,0.19969342692146555,0.1444139239442765,0.002859836117424112,0.002861334536828599,1
2,0.40837619544384113,0.0009474010144323103,0.0009460782507871835,0.42877783012433146,0.09049584127144493,0.06950699129446936,0.000949662600693515,2
3,0.8927042002065847,0.017929847225853647,0.017857144863027016,0.017896189340891603,0.017891956619128426,0.0178615409444677,0.01785912080004702,3
4,0.6678790969955839,0.02742759727398527,0.003174679182820856,0.0031902144294278347,0.291958570721723,0.003185227926200274,0.0031846134702588074,4
5,0.0044826509657367505,0.004469934659344736,0.004464290387116557,0.1009474385384222,0.8767016234137051,0.004465987528244327,0.004468074507430423,5
6,0.7103983323904773,0.004217156330382826,0.004211062548709454,0.004224751280234425,0.2685144487250101,0.004216027156938962,0.004218221568246767,6
7,0.957377494476485,0.0009471531665152491,0.0009461178635626534,0.0009481424470966293,0.0009489391354580584,0.037885064445619406,0.000947088465263055,7
8,0.866877397668694,0.01020548747128307,0.01020410656112285,0.010223591072790706,0.010217446309530219,0.01021707848590659,0.08205489243067249,8
9,0.7989456593415328,0.0019072936222217284,0.0019047769046043137,0.1915167396491231,0.0019113346026046261,0.0019070714489936838,0.0019071244309196115,9
10,0.42633031268996624,0.002423587990065159,0.002421536663198084,0.47376096954683317,0.002429224757953888,0.09020072815615394,0.0024336401958295257,10
11,0.05071129966553484,0.0007131719736088602,0.0007107333418143121,0.0007131024367190191,0.8146028492114858,0.0007111526779034869,0.13183769069293386,11
12,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,12
13,0.14166314490011622,0.2660695443182674,0.00040820561675180146,0.49204972891322224,0.07289532507731249,0.026504824197908866,0.00040922697642111465,13
14,0.12926060585478444,0.23087075459000092,0.001171108532756866,0.6351739320739954,0.001173706956042232,0.0011753513898066746,0.0011745406026136653,14
15,0.0030466118670402454,0.003041733673772601,0.0030395161362409876,0.003052938487284614,0.824106136114438,0.003044959936033647,0.16066810378518984,15
16,0.541778754062207,0.0013486873013245958,0.00134771292574971,0.0013528570033267708,0.4514740421758762,0.0013481293180587473,0.001349817213456938,16
17,0.00018367418695433777,0.00018349892947581688,0.0001830028393052876,0.6457069866013744,0.13499882285980827,0.2185604035827833,0.00018361100029866105,17
18,0.10889024781720645,0.0031789813904278914,0.0031746049423666657,0.8752165783170066,0.0031869968853533654,0.0031757066128738696,0.00317688403476534,18
19,0.8871159110667599,0.0017027307172534985,0.0017006945161173919,0.10437124138163904,0.0017045307888035027,0.00170363545970905,0.0017012560697175047,19
20,0.009535664454477339,0.009524464290581238,0.009523810714908798,0.009569581335596964,0.9427875940549826,0.009529607790560828,0.009529277358892349,20
21,0.0033247443676565976,0.0033226862071191695,0.00332228840372815,0.4999458634907548,0.003339329625016676,0.4834144298799163,0.0033306580258081427,21
22,0.8595026013730229,0.13196114292916972,0.0017006914379631068,0.0017093816539696897,0.0017085639911504297,0.0017107493448575907,0.0017068692698666433,22
23,0.4715845540256617,0.007524576718568268,0.007519062618992988,0.49075977975922674,0.007535839504460752,0.007543022850060401,0.0075331645230290855,23
24,0.8004852952047803,0.004466079268329719,0.004464312808294314,0.0044828931461785475,0.14010104036955864,0.004467892433357309,0.04153248676950135,24
25,0.8881457519633519,0.10031267870285437,0.0023041572485346462,0.0023115579305887234,0.0023130148329751233,0.002307610672086935,0.0023052286496083405,25
26,0.0016868251747093517,0.0016844448579284752,0.001680743167520784,0.8192916510810273,0.001685971738329409,0.0016820993447696868,0.17228826463571503,26
