,0,1,2,3,4
2,0.09090909090909106,0.18181818181818182,0.18181818181818182,0.3636363636363643,0.18181818181818182
3,0.11111111111111109,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
4,0.12499999999999997,0.24999999999999994,0.12499999999999997,0.24999999999999994,0.24999999999999994
5,0.1666666666666666,0.1666666666666666,0.3333333333333332,0.1666666666666666,0.1666666666666666
7,0.4705882352941173,0.2352941176470582,0.02941176470588232,0.02941176470588232,0.2352941176470582
9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.11111111111111109,0.2222222222222222
11,0.9481481481481511,0.007407407407407386,0.029629629629629655,0.007407407407407386,0.007407407407407386
13,0.3333333333333332,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
14,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285
16,0.44444444444444425,0.11111111111111104,0.2222222222222225,0.11111111111111104,0.11111111111111104
17,0.023774145616641804,0.7607726597325448,0.1901931649331328,0.023774145616641804,0.0014858841010401017
18,0.11111111111111109,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
19,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
22,0.09999999999999998,0.19999999999999998,0.09999999999999998,0.19999999999999998,0.39999999999999997
24,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857
25,0.11111111111111084,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221
26,0.09090909090909073,0.18181818181818182,0.36363636363636304,0.18181818181818182,0.18181818181818182
28,0.06666666666666675,0.13333333333333328,0.5333333333333332,0.13333333333333328,0.13333333333333328
30,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.3333333333333341,0.16666666666666674
31,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
32,0.11111111111111109,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
36,0.20000000000000015,0.20000000000000015,0.20000000000000015,0.20000000000000015,0.20000000000000015
37,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
39,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.11111111111111104,0.2222222222222221
