,0,1,2,3,4,5,6,7,8,9
0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.18181818181818213,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
1,0.0588235294117647,0.11764705882352941,0.0588235294117647,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0588235294117647
2,0.027777777777778002,0.11111111111111163,0.05555555555555571,0.11111111111111163,0.11111111111111163,0.2222222222222221,0.05555555555555571,0.05555555555555571,0.2222222222222221,0.027777777777778002
3,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
4,0.04000000000000006,0.08000000000000027,0.08000000000000027,0.04000000000000006,0.08000000000000027,0.04000000000000006,0.1599999999999997,0.1599999999999997,0.1599999999999997,0.1599999999999997
5,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
6,0.0689655172413794,0.13793103448275856,0.0689655172413794,0.13793103448275856,0.13793103448275856,0.13793103448275856,0.0689655172413794,0.0689655172413794,0.13793103448275856,0.034482758620689634
7,0.0068493150684931755,0.21917808219178056,0.01369863013698628,0.0068493150684931755,0.02739726027397261,0.21917808219178056,0.02739726027397261,0.02739726027397261,0.4383561643835619,0.01369863013698628
8,0.08333333333333329,0.08333333333333329,0.08333333333333329,0.1666666666666669,0.08333333333333329,0.08333333333333329,0.08333333333333329,0.08333333333333329,0.1666666666666669,0.08333333333333329
9,0.05263157894736848,0.10526315789473678,0.10526315789473678,0.21052631578947395,0.05263157894736848,0.10526315789473678,0.10526315789473678,0.05263157894736848,0.10526315789473678,0.10526315789473678
10,0.04444444444444438,0.17777777777777753,0.04444444444444438,0.08888888888888892,0.08888888888888892,0.17777777777777753,0.08888888888888892,0.08888888888888892,0.17777777777777753,0.022222222222222147
11,0.30769230769230677,0.03846153846153841,0.07692307692307641,0.03846153846153841,0.1538461538461531,0.07692307692307696,0.1538461538461531,0.07692307692307696,0.03846153846153841,0.03846153846153841
13,0.05333333333333374,0.10666666666666767,0.01333333333333348,0.01333333333333348,0.10666666666666692,0.01333333333333348,0.2133333333333327,0.42666666666666625,0.02666666666666682,0.02666666666666701
14,0.17391304347826153,0.0869565217391306,0.043478260869565216,0.043478260869565216,0.0869565217391306,0.043478260869565216,0.17391304347826153,0.17391304347826153,0.0869565217391306,0.0869565217391306
15,0.12903225806451626,0.2580645161290321,0.06451612903225801,0.06451612903225801,0.06451612903225801,0.12903225806451626,0.03225806451612895,0.1290322580645158,0.06451612903225801,0.06451612903225801
16,0.09876543209876551,0.04938271604938301,0.19753086419753138,0.04938271604938301,0.09876543209876551,0.19753086419753138,0.049382716049382665,0.049382716049382665,0.19753086419753138,0.012345679012345708
17,2.8721582182206403e-05,0.007352725038644948,0.9411488049465657,0.007352725038644948,2.2438736079848458e-07,0.0036763625193224673,0.029410900154579905,4.4877472159697e-07,0.0036763625193224673,0.007352725038644948
18,0.18181818181818182,0.04545454545454561,0.04545454545454561,0.18181818181818182,0.18181818181818182,0.09090909090909138,0.09090909090909073,0.09090909090909073,0.04545454545454561,0.04545454545454561
19,0.03571428571428589,0.07142857142857141,0.03571428571428589,0.2857142857142867,0.07142857142857141,0.07142857142857141,0.07142857142857141,0.07142857142857141,0.1428571428571431,0.14285714285714207
20,0.04545454545454544,0.18181818181818182,0.04545454545454544,0.04545454545454544,0.04545454545454544,0.04545454545454544,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.04545454545454544
21,0.07692307692307696,0.07692307692307696,0.15384615384615366,0.07692307692307696,0.15384615384615366,0.07692307692307696,0.15384615384615366,0.07692307692307696,0.07692307692307696,0.07692307692307696
22,0.054794520547945126,0.054794520547945126,0.054794520547945126,0.054794520547945126,0.21917808219178134,0.054794520547945126,0.21917808219178134,0.21917808219178134,0.054794520547945126,0.013698630136986328
23,0.0909090909090909,0.0909090909090909,0.18181818181818213,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
24,0.0909090909090909,0.0909090909090909,0.18181818181818213,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
25,0.052631578947368335,0.10526315789473688,0.052631578947368335,0.10526315789473688,0.2105263157894734,0.10526315789473688,0.10526315789473688,0.10526315789473688,0.10526315789473688,0.052631578947368335
26,0.1428571428571431,0.07142857142857141,0.07142857142857141,0.1428571428571431,0.07142857142857141,0.07142857142857141,0.07142857142857141,0.1428571428571431,0.07142857142857141,0.1428571428571431
27,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693
28,0.07980049875311765,0.039900249376558755,0.039900249376558755,0.0024937655860349035,0.039900249376558755,0.039900249376558755,0.6384039900249358,0.039900249376558755,0.039900249376558755,0.039900249376558755
29,0.0909090909090909,0.1818181818181815,0.045454545454545366,0.045454545454545366,0.0909090909090909,0.18181818181818213,0.0909090909090909,0.18181818181818213,0.045454545454545366,0.045454545454545366
30,0.058823529411764754,0.11764705882352931,0.11764705882352931,0.058823529411764754,0.058823529411764754,0.23529411764705904,0.058823529411764754,0.11764705882352931,0.11764705882352931,0.058823529411764754
31,0.10810810810810799,0.0540540540540539,0.10810810810810799,0.2162162162162164,0.0540540540540539,0.10810810810810799,0.0540540540540539,0.0540540540540539,0.2162162162162164,0.027027027027026897
33,0.13333333333333353,0.06666666666666664,0.13333333333333353,0.13333333333333353,0.06666666666666664,0.06666666666666664,0.06666666666666664,0.13333333333333353,0.06666666666666664,0.13333333333333353
35,0.052631578947368335,0.10526315789473688,0.10526315789473688,0.10526315789473688,0.052631578947368335,0.10526315789473688,0.10526315789473688,0.052631578947368335,0.10526315789473688,0.2105263157894734
