,index,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
0,0.0,0.16760640068988145,0.1259420539422869,0.2932416068262821,0.24506411658813226,0.07266534885445398,0.0419209385352961,0.05355953456366719
1,1.0,0.27726364213401955,0.05509120146985571,0.08940282531439098,0.12753096385909912,0.1133334819145268,0.31427808927566864,0.02309979603243916
2,2.0,0.5349132115684164,0.07315355740601472,0.09734319602379582,0.1331437471996279,0.06694946441497938,0.05120640970779912,0.04329041367936654
3,3.0,0.49480893981556534,0.043121521392256,0.11435681650782965,0.2044090177382409,0.03484842644871401,0.053847300740173826,0.05460797735722025
4,4.0,0.13671400156328217,0.550427826583813,0.05836419402664499,0.07351116503655959,0.10603006278253087,0.05593438209669441,0.019018367910474916
5,5.0,0.13571765272064346,0.31590281384744595,0.21812599357176726,0.08001610512483867,0.15438267336047712,0.050234783424270964,0.045619977950556626
6,6.0,0.5071520754838383,0.08648741478778953,0.1812708574651234,0.08149450773294706,0.040876405877027705,0.06873370023311015,0.03398503842016386
7,7.0,0.24844649726232093,0.04265116834230728,0.08353142494116278,0.533566799158303,0.03556171680324666,0.023892959802979778,0.03234943368967952
8,8.0,0.33854834556043983,0.03723588432554623,0.0442765787600183,0.5289232728229702,0.008994989512273467,0.0,0.04202092901875179
9,9.0,0.6648980274247039,0.0579765707032813,0.050248959727697426,0.13295744760666411,0.04558687471323204,0.01804083850802172,0.03029128131639954
10,10.0,0.09968487095440527,0.08446242027805653,0.07618266317943143,0.15387096826251578,0.05063920828757422,0.04861298796613342,0.48654688107188343
11,11.0,0.09806968470107101,0.5135152784659386,0.13235995783795323,0.09644127046914083,0.12991007102439853,0.008852144106821776,0.020851593394676085
13,13.0,0.24090659841464118,0.0693398677676591,0.048069762695589206,0.06916288619419514,0.5057413631714951,0.033696989609119835,0.03308253214730038
14,14.0,0.1732975943407396,0.058002014725253986,0.04587516362604924,0.6004144992266592,0.07503863246001212,0.018059110552934875,0.02931298506835087
15,15.0,0.32857956540551136,0.2031276397499553,0.2267327979335507,0.05788134522990997,0.11162871858306059,0.033465398361681054,0.038584534736330924
16,16.0,0.6417318680016504,0.05877443374299646,0.04056367521688499,0.04970709247697516,0.06498004653095606,0.03346499316286984,0.11077789086766712
17,17.0,0.11275843505815336,0.09170531378328788,0.5349395296118393,0.09662158416593747,0.06577915171094001,0.046379321092638676,0.05181666457720332
18,18.0,0.600296400559124,0.05105653175514181,0.07065332658932788,0.10862165562523302,0.1112438216826698,0.018559060249805984,0.03956920353869739
19,19.0,0.6514738922822221,0.04105804745017388,0.057663782424719465,0.12545489490196388,0.029695023525162977,0.05819004432810472,0.03646431508765315
20,20.0,0.06742494305764812,0.0992318679821194,0.09453740267048295,0.05361731231528267,0.6467144127426877,0.020196828761544296,0.018277232470234772
21,21.0,0.05237433322752595,0.09496973896059871,0.4895587193560277,0.15043674077111557,0.04343500834418274,0.12724274625332785,0.041982713087221665
22,22.0,0.2481421115155144,0.05483256959357244,0.06529753337799496,0.4939313967108232,0.04878076192957049,0.0609623578968974,0.028053268975627228
23,23.0,0.26636872371695464,0.016642394946625002,0.12366571671009902,0.285334599987739,0.09955584385538521,0.16616627494374453,0.042266445839452604
24,24.0,0.27251082918395897,0.3231470693251851,0.06393730495997016,0.06132250804702637,0.06417648347185811,0.13980599328383503,0.07509981172816624
25,25.0,0.38485630088652983,0.09704452217423294,0.28657091533869716,0.08974166052003449,0.09261157411232772,0.022691537795756347,0.0264834891724215
26,26.0,0.09298725011038904,0.14500448560450654,0.031012377996856588,0.0683667367083894,0.5827078146733868,0.029330719872900438,0.05059061503357122
27,27.0,0.14126810205763063,0.3663201409202723,0.032242011138673816,0.0,0.05969390371579253,0.40047584216763077,0.0
28,28.0,0.10030901038613871,0.16245660750736535,0.051137351805157716,0.056359391409972405,0.5327340704830117,0.04797274283684547,0.04903082557150888
29,29.0,0.07734139090053645,0.0944251417112533,0.6153552683135279,0.06402721164304928,0.042721973864072435,0.016246068423716065,0.08988294514384451
30,30.0,0.25113414713081594,0.10274718932565283,0.10307465794484244,0.417949654758984,0.05286831515821123,0.03862648434512729,0.03359955133636624
31,31.0,0.07162452416500617,0.12308474905349065,0.05031031925782298,0.5867709806047499,0.06800236659658224,0.07067197976017695,0.029535080562171145
32,32.0,0.2007683044977746,0.2141119516719728,0.2762187549989451,0.07183261204054756,0.12793416354654857,0.0727094776425316,0.03642473560167984
33,33.0,0.07672694849058767,0.13077748294271524,0.5831835643968679,0.04396698734246028,0.09312764820157672,0.042766272450481015,0.02945109617531113
34,34.0,0.04010263422117292,0.6349442894248872,0.13310494054467373,0.03671585042087566,0.10722253864035343,0.041153916487344136,0.006755830260692916
35,35.0,0.6705975804458217,0.06176786792639277,0.03339627954827018,0.08207737192474732,0.0290784551552128,0.10718618722574047,0.015896257773814818
36,36.0,0.12248950804167612,0.11693416440825902,0.08874784110646634,0.04272546220591174,0.0594358449857692,0.015432614099480301,0.5542345651524373
37,37.0,0.1421410546579704,0.43040760699983605,0.0893318637686735,0.15199704048871757,0.090305936886571,0.03901993334315373,0.056796563855077614
38,38.0,0.09541609574064575,0.05341986707755395,0.2619310057663244,0.253077625467471,0.0902020461200839,0.21444455578404062,0.031508804043880456
39,39.0,0.4892536692157122,0.13055035747443977,0.11797908494982248,0.10029589049302151,0.08103918401619759,0.04210954035811735,0.03877227349268911
40,40.0,0.0658131189026688,0.13581539668320536,0.07663120786223493,0.12069001787954735,0.06201863786612232,0.055902095874359674,0.4831295249318616
41,41.0,0.28137986157696937,0.05286564546239733,0.07932999998494272,0.3780306688728369,0.06799695811645456,0.039878507561850546,0.10051835842454854
42,42.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,0.7499999999999998
43,43.0,0.04829569751578078,0.09470953474264805,0.06416554748606537,0.07799855779522791,0.07323632926688473,0.5967549656703536,0.04483936752303978
44,44.0,0.04278643776728198,0.06563554759568718,0.03349275035641669,0.6185868958156506,0.019783892367800177,0.13111572780075134,0.08859874829641204
45,45.0,0.06536834380194732,0.41552061738665413,0.07086731426047206,0.0628651328170299,0.23124746784544806,0.08045502065851921,0.0736761032299291
46,46.0,0.21572251191571634,0.05502238347824429,0.1681117106181799,0.04992877389235312,0.5081873568280602,0.0,0.0030272632674461014
47,47.0,0.07338035471883475,0.05558231190271356,0.1535680864948179,0.13885432009524049,0.06490956485516015,0.04570384048163721,0.4680015214515959
48,48.0,0.3549050138298463,0.11026001094651211,0.15114449204266076,0.11429640554639475,0.1608311396218194,0.09155336118677926,0.017009576825987534
49,49.0,0.2687083148909635,0.03781946142097924,0.03653404712843407,0.07494033189859223,0.15034564884229673,0.36041949908466897,0.07123269673406536
50,50.0,0.2750998923479113,0.04118107126321641,0.08517521441538789,0.0672773414526027,0.060451346101492415,0.4541447267083476,0.016670407711041633
51,51.0,0.05909668812040804,0.19201397309723695,0.2553793899165161,0.0700839609130918,0.3671435984682982,0.016832602049665385,0.0394497874347835
52,52.0,0.34232162384078496,0.028061820597311486,0.0931944558874164,0.09961036988755256,0.018966748747569706,0.04060108441972697,0.37724389661963775
53,53.0,0.08198002189918632,0.1285904697311327,0.046144207254610076,0.07372791218629138,0.10439481254889232,0.06519841267694967,0.4999641637029375
54,54.0,0.10567912772091788,0.07428747856181453,0.5786852194307002,0.0927654770956039,0.07046261199503262,0.03562836749077222,0.04249171770515877
55,55.0,0.517874709479584,0.08970551713597574,0.1274379447832369,0.14279305497471348,0.08018473440396795,0.024882818978241055,0.01712122024428089
56,56.0,0.11256013217560447,0.13021227739844443,0.09734869552384229,0.12277776454151067,0.07682313369535407,0.42520577204410154,0.03507222462114261
57,57.0,0.4107201316979375,0.21832326305259508,0.025061530275332294,0.17703005394311266,0.011386456068230162,0.03186197787130644,0.12561658709148601
58,58.0,0.29677827212162416,0.05052609691877311,0.4875190979698827,0.06204707722405286,0.03632289130330796,0.021870622812246082,0.04493594165011307
